Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"The PCB","pcb",5,8.29,"https://cart.jlcpcb.com/shopcart/cart/","JLCPCB"
"Ceramic Capacitor 50V","capacitors",10,0.65,"https://www.bdtronics.com/ceramic-capacitor-50v.html","BDtronics"
"DC Power Socket Female PCB Mount DC-005 Barrel Connector 5.5x2.1mm","Power socket",1,0.07,"https://www.bdtronics.com/dc-power-socket-female-pcb-mount-dc-005-barrel-connector-5-5x2-1mm.html","BDtronics"
"SSD1306 1.3 inch 128X64 OLED LCD Display","the display to show the values",1,4.96,"https://www.bdtronics.com/ssd1306-1-3-inch-128x64-pixels-oled-lcd-display-module.html","BDtronics"
"10K Ohm 1/4W Resistor Pack of 20","10k resistor couldn't find single pieces",1,0.11,"https://techshopbd.com/product/10k-ohm-14w-resistor-pack-of-20","TechshopBD"
"DHT22 Digital Temperature Humidity Sensor","the humidity sensor to measure",1,4.65,"https://www.bdtronics.com/dht22-digital-temperature-humidity-sensor.html","BDtronic"
"ATmega328P-PU PDIP-28 Microcontroller","the atmega microcontroller",1,4.91,"https://store.roboticsbd.com/development-boards/1215-atmega328p-pu-pdip-28-microcontroller-robotics-bangladesh.html","RoboticsBD"
